class,aa_000,ab_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bn_000,bo_000,bp_000,bq_000,br_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cr_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
neg,60386,na,2130706432,1376,0,0,0,0,0,0,434,542752,3210204,1221380,150544,17108,2261152,0,0,0,0,0,3976748,2848502,1508566,984190,0,0,414,0,3490,666,0,0,0,0,0,10678,4569222,532252,30270,0,3398,2128,2770,4448,104062,5003330,22286,0,0,0,2161946,1033998,373144,281848,248080,245822,372106,425440,38,0,5486306,164,100,1508,24,2261152,100458,623406,878972,383020,352560,309460,258240,na,na,na,na,193620,60386.13,5486306,5486306,5438352,32736,7442,53724,636020,5142422,1209600,142944,6,82,0,3787211.52,338875.2,1012688.64,0,1250,0,0,0,58608,1300442,2903464,811798,58362,9116,632,32,40,5486306,na,8244,1014,240954,576168,264162,3446470,583696,21324,388,2,2286,1946,3741100,37308,0,466,0,8,3864726,4782,1062,0,0,190,338976,0,0,0,0,78220,70426,33538,0,0,96474,19022,10525000,1135996,0,0,0,0,30620710,2088.72,2284,1399280,875982,503548,377126,1333268,537748,67258,45198,3014,0,0,0
neg,57708,na,148,142,0,0,0,0,0,0,180862,989520,1755254,153296,8950,0,1424542,0,0,0,0,0,2739818,2396922,411710,312166,0,0,0,0,210,62,0,0,0,0,0,15120,1276036,1372264,424462,0,1782,462,484,2368,1406582,1661918,14282,4,0,0,675150,700406,366118,333500,286490,242898,396360,86960,0,0,3151794,124,62,104,10,1424542,37964,199492,210846,140820,175760,na,na,na,na,na,na,91980,57707.41,3151794,3151794,3151310,24295,2088,68106,729360,3087882,1209600,78756,0,52,0,2856720.96,0,203256.96,0,0,0,0,14470,503588,1156802,1290480,112564,7550,2360,68,106,110,3151794,na,2422,322,24694,152742,72370,1186914,1622288,26000,130,0,280,170,2791992,10708,0,20,0,46,2868386,1090,170,0,0,0,0,0,0,0,0,18226,43280,10434,0,0,80584,17906,162340,46038,0,0,0,0,12023060,579.4,682,219612,419528,301116,148786,315248,289094,371290,381270,633410,8528,0,0
neg,17118,na,98,94,0,0,0,0,0,0,5188,556384,473582,20586,1624,0,466884,0,0,0,0,0,981532,851394,161748,99136,0,0,0,0,194,48,0,0,0,0,0,52642,590784,389950,23988,0,716,152,210,1758,431452,606224,16852,0,0,0,260930,367368,90436,60292,42940,33732,59462,141898,306,0,1143632,42,62,236,2,466884,13848,98388,62928,na,na,na,na,na,na,na,na,159020,17118.15,1143632,1143632,1145078,7095,3010,112506,1140060,1057364,1209600,34700,0,38,0,984389.76,0,72083.52,0,0,0,0,574,237710,492264,299254,23272,3334,884,72,332,336,1143632,na,1716,248,5908,40402,28168,590374,370628,19186,734,0,154,144,476948,33886,0,7714,0,80,989736,824,122,0,0,0,0,0,0,0,0,7906,19576,3680,0,0,47582,7326,1552260,178324,157472,7022,0,0,244090,447.32,556,80514,175228,146758,80026,258780,189580,83254,29902,13218,104,0,0
neg,10,2,16,6,0,0,0,0,0,0,4342,2044,1130,0,0,0,2242,0,72,0,908,2372,11698,9990,7704,200,0,0,0,0,6,2,0,0,0,0,0,0,0,920,6596,0,1420,26,10,20,44,5994,2,0,0,0,6068,344,110,90,250,28,442,68,12,104,20342,0,4,2,0,2242,196,4860,2812,na,na,na,na,na,na,na,na,7480,10.13,20342,20342,20658,33,0,1896,20120,7568,1209600,308,0,8,0,2237.76,23.04,4230.72,0,22,0,0,3944,1218,1248,1100,6,0,0,0,0,256,20342,0,1132,18,86,128,38,944,4146,964,60,0,8,2,1880,106,0,0,0,0,2844,44,104,0,0,120,56,0,0,0,0,240,0,0,380,80,26,22,0,0,4286,20,0,0,0,314.78,82,5516,1806,44,24,40,24,32,30,0,0,0,0
neg,6,na,12,6,0,0,0,0,0,0,18,306,2942,0,0,0,986,0,0,0,0,0,4830,3862,3816,386,0,0,0,0,6,2,0,0,0,0,0,0,3266,0,0,0,30,12,20,4,248,2952,0,0,0,0,2916,298,42,8,2,0,0,0,0,0,8654,2,10,2,0,986,72,2594,1216,na,na,na,na,na,na,na,na,3760,6.93,8654,8654,10500,5,0,822,8600,3266,1209600,224,2,0,0,1399.68,10.56,1833.6,0,10,0,0,0,0,2442,782,42,0,0,0,4,10,8654,na,46,4,12,14,516,1158,1184,326,6,0,4,2,1436,52,0,2,0,52,1554,28,46,0,0,0,18,0,0,0,0,56,0,0,72,70,54,18,6780,660,10782,42,0,0,0,21.4,20,2038,1182,46,0,0,0,0,0,0,0,0,0
neg,10000,na,na,na,0,0,0,0,0,0,55336,304776,319470,8464,0,0,217032,0,0,na,0,0,628596,578442,108802,35444,0,0,0,0,0,0,0,0,0,0,0,11340,334700,302962,39044,0,480,62,84,152,67314,610682,9268,2,2,0,276870,158792,67532,47228,38742,36072,35566,22720,4158,366,737486,30,96,82,34,217032,7070,62332,46330,0,0,0,0,0,0,0,0,107660,9999.54,737486,737486,na,3741,87674,na,735860,na,1209600,0,na,na,na,na,na,na,na,na,0,0,13730,211974,266954,185422,8050,1524,376,16,na,4,737486,na,472,86,30862,36434,61704,501380,55570,1536,2,0,na,na,na,na,na,na,na,na,na,296,68,na,na,na,na,na,na,na,na,3330,10962,2698,0,0,31858,4816,1302320,469618,0,0,0,0,na,na,na,84370,114476,137208,70576,137872,84134,41380,12616,5414,0,0,0
neg,59688,na,2130706432,4352,0,0,0,0,0,2160,40100,373498,3602200,6861716,366992,2466,3901054,0,0,0,1960,3414,9604478,8193036,2187130,1145622,0,0,0,0,13180,3420,0,0,0,0,0,21498,485644,663320,10078670,0,8164,2592,4490,7174,331942,10893760,1010,0,0,0,8149790,1530736,483414,317280,232234,175240,191228,169166,44,0,11796656,422,736,1482,104,3901054,130768,583794,1597462,286660,244980,287500,198060,172920,202500,179960,211900,212740,59687.64,11796656,11796656,11802594,30621,4870,73750,880340,11249132,1209600,368634,2,562,0,5078538.24,109646.4,6050562.24,0,3592,0,0,12212,238006,288806,7458070,3089488,141056,21004,490,44,70,11796656,na,22420,2908,1424814,4598734,789722,3692264,701164,16966,140,0,6522,9536,5162328,74326,66,2496,0,10,5262736,23806,624,0,0,2260,114682,0,0,0,0,67084,56092,19264,0,0,240090,47116,18073020,1898136,0,0,0,0,791790,6052.3,6318,6341282,2395716,844780,360150,505476,318902,178400,114582,181034,8810,0,0
neg,33886,na,0,na,0,0,0,0,0,0,216,105804,1708312,312484,22,0,1031410,0,0,0,0,0,1972516,1834112,224226,105092,0,0,0,0,0,0,0,0,0,0,0,77780,245420,1179788,623850,0,3792,1968,3838,7550,810584,1275958,23148,0,0,0,824734,326940,203136,174264,164766,166608,201516,63936,938,0,2197102,220,580,86,50,1031410,17950,97758,125606,146540,na,na,na,na,na,na,na,73720,33886.95,2197102,2197102,2181096,14080,56444,96292,983620,2126838,1209600,0,na,na,na,1925395.2,0,198146.88,na,na,0,0,0,13184,1034486,983244,85096,8984,1844,0,na,0,2197102,na,3292,348,111424,88172,131482,1717932,72696,1450,42,0,na,na,na,na,na,na,na,na,na,1200,96,0,0,0,0,0,0,0,0,8850,27388,5502,0,0,60034,11906,4542260,648770,0,0,0,0,32886950,na,na,212496,413822,240670,125294,326228,399786,198300,96050,108520,5672,0,0
neg,1086,0,56,38,0,0,0,0,0,230,57346,31898,11250,0,0,0,46404,0,0,0,4108,7008,93380,86750,19372,3844,0,0,0,0,6,18,0,0,0,0,0,0,0,18408,82316,0,3118,1350,5246,4890,2926,60290,22524,380,0,0,51502,16726,10738,9206,7574,3374,1596,8,0,0,116978,18,18,46,0,46404,1082,7926,11244,na,na,na,na,na,na,na,na,18640,1085.55,116978,116978,122474,327,14,11236,116200,100936,1209600,2424,0,6,0,61964.16,0,36594.24,6,70,0,0,14720,29262,30122,26352,244,24,0,0,6,10,116978,0,2654,70,70,5172,8098,23568,57128,3964,0,0,66,24,62372,19128,0,34,0,0,65104,260,138,0,0,0,0,0,0,0,0,884,88,12,0,0,1760,306,3400,360,0,0,0,0,85550,345.26,176,39108,14738,6246,3120,8734,4412,6110,18256,0,0,0,0
neg,42204,na,538,516,0,0,0,0,0,0,20018,741514,1289678,435180,24608,434,1112372,0,0,0,100,330,2224018,1908656,392756,270930,0,0,0,0,1418,240,0,0,0,0,0,25288,1113928,1372216,0,0,1202,234,330,110930,1476776,920686,1274,0,0,0,620678,733584,280158,195552,139136,107392,169460,264980,492,0,2617274,166,190,538,2,1112372,32508,212674,178510,166480,195820,na,na,na,na,na,na,25980,42204.86,2617274,2617274,2629992,17912,2114,17002,193100,2511432,1209600,71400,0,42,0,2285481.6,0,224376.96,0,0,0,0,1506,259442,1007884,969662,253586,15946,3198,208,22,26,2617274,na,3112,482,36252,133318,92942,1844110,389460,11572,184,0,702,666,2248198,36854,0,1312,0,18,2298790,1394,98,0,0,0,0,0,0,0,0,17486,33308,5692,0,0,82736,12048,324000,37206,0,0,0,0,2622900,889.46,954,238414,381736,292416,186862,484654,354904,204352,121282,220960,25852,0,0
